Precinct,Registered Voters,Ballots Cast,Voter Turnout
PLUM DIST 9,1097,861,78.49 %
PLUM DIST 10,580,431,74.31 %
PLUM DIST 11,790,630,79.75 %
PLUM DIST 12,1073,905,84.34 %
PLUM DIST 13,569,460,80.84 %
PLUM DIST 14,744,533,71.64 %
PLUM DIST 15,810,547,67.53 %
PLUM DIST 16,578,451,78.03 %
PLUM DIST 17,706,507,71.81 %
PLUM DIST 18,830,664,80.00 %
PLUM DIST 19,1852,1457,78.67 %
PLUM DIST 20,744,562,75.54 %
PLUM DIST 21,414,336,81.16 %
PORT VUE DIST 1,589,385,65.37 %
PORT VUE DIST 2,556,392,70.50 %
PORT VUE DIST 3,556,432,77.70 %
PORT VUE DIST 4,695,493,70.94 %
RANKIN WARD 1,366,251,68.58 %
RANKIN WARD 2,433,291,67.21 %
RANKIN WARD 3,627,368,58.69 %
RESERVE WARD 1,512,390,76.17 %
RESERVE WARD 2,567,439,77.43 %
RESERVE WARD 3,530,425,80.19 %
RESERVE WARD 4,846,647,76.48 %
RICHLAND DIST 1,1057,885,83.73 %
RICHLAND DIST 2,1116,898,80.47 %
RICHLAND DIST 3,1138,901,79.17 %
RICHLAND DIST 4,1126,914,81.17 %
RICHLAND DIST 5,1002,818,81.64 %
RICHLAND DIST 6,1068,886,82.96 %
RICHLAND DIST 7,1094,888,81.17 %
RICHLAND DIST 8,957,681,71.16 %
ROBINSON DIST 1,1595,1206,75.61 %
ROBINSON DIST 2,959,753,78.52 %
ROBINSON DIST 3,689,526,76.34 %
ROBINSON DIST 4,685,493,71.97 %
ROBINSON DIST 5,609,467,76.68 %
ROBINSON DIST 6,880,619,70.34 %
ROBINSON DIST 7,1381,1095,79.29 %
ROBINSON DIST 8,1436,997,69.43 %
ROBINSON DIST 9,2385,1704,71.45 %
ROSS WARD 1 DIST 1,734,570,77.66 %
ROSS WARD 1 DIST 2,617,483,78.28 %
ROSS WARD 1 DIST 3,493,365,74.04 %
ROSS WARD 1 DIST 4,842,656,77.91 %
ROSS WARD 2 DIST 1,1148,834,72.65 %
ROSS WARD 2 DIST 2,947,775,81.84 %
ROSS WARD 2 DIST 3,707,554,78.36 %
ROSS WARD 3 DIST 1,660,521,78.94 %
ROSS WARD 3 DIST 2,686,559,81.49 %
ROSS WARD 3 DIST 3,537,399,74.30 %
ROSS WARD 3 DIST 4,685,546,79.71 %
ROSS WARD 4 DIST 1,876,695,79.34 %
ROSS WARD 4 DIST 2,563,473,84.01 %
ROSS WARD 4 DIST 3,736,612,83.15 %
ROSS WARD 4 DIST 4,700,545,77.86 %
ROSS WARD 5 DIST 1,596,479,80.37 %
ROSS WARD 5 DIST 2,400,318,79.50 %
ROSS WARD 5 DIST 3,832,624,75.00 %
ROSS WARD 5 DIST 4,736,574,77.99 %
ROSS WARD 6 DIST 1,511,389,76.13 %
ROSS WARD 6 DIST 2,958,723,75.47 %
ROSS WARD 6 DIST 3,661,475,71.86 %
ROSS WARD 6 DIST 4,587,436,74.28 %
ROSS WARD 7 DIST 1,609,467,76.68 %
ROSS WARD 7 DIST 2,557,380,68.22 %
ROSS WARD 7 DIST 3,706,559,79.18 %
ROSS WARD 7 DIST 4,578,437,75.61 %
ROSS WARD 8 DIST 1,1574,1094,69.50 %
ROSS WARD 8 DIST 2,528,403,76.33 %
ROSS WARD 8 DIST 3,543,440,81.03 %
ROSS WARD 9 DIST 1,779,653,83.83 %
ROSS WARD 9 DIST 2,936,716,76.50 %
ROSS WARD 9 DIST 3,830,644,77.59 %
ROSSLYN FARM,376,321,85.37 %
SCOTT WARD 1 DIST 1,574,393,68.47 %
SCOTT WARD 1 DIST 2,657,436,66.36 %
SCOTT WARD 2 DIST 1,504,379,75.20 %
SCOTT WARD 2 DIST 2,678,556,82.01 %
SCOTT WARD 3 DIST 1,504,404,80.16 %
SCOTT WARD 3 DIST 2,732,551,75.27 %
SCOTT WARD 4 DIST 1,772,626,81.09 %
SCOTT WARD 4 DIST 2,608,490,80.59 %
SCOTT WARD 5 DIST 1,590,439,74.41 %
SCOTT WARD 5 DIST 2,746,589,78.95 %
SCOTT WARD 6 DIST 1,695,490,70.50 %
SCOTT WARD 6 DIST 2,781,601,76.95 %
SCOTT WARD 7 DIST 1,903,676,74.86 %
SCOTT WARD 7 DIST 2,635,512,80.63 %
SCOTT WARD 8 DIST 1,522,417,79.89 %
SCOTT WARD 8 DIST 2,1018,794,78.00 %
SCOTT WARD 9 DIST 1,313,200,63.90 %
SCOTT WARD 9 DIST 2,350,266,76.00 %
SEWICKLEY WARD 1,945,698,73.86 %
SEWICKLEY WARD 2 DIST 1,500,355,71.00 %
SEWICKLEY WARD 2 DIST 2,606,431,71.12 %
SEWICKLEY WARD 3,998,725,72.65 %
SEWICKLEY HTS,764,562,73.56 %
SEWICKLEY HILLS,525,419,79.81 %
SHALER WARD 1 DIST 1,489,395,80.78 %
SHALER WARD 1 DIST 2,498,368,73.90 %
SHALER WARD 1 DIST 3,605,426,70.41 %
SHALER WARD 1 DIST 4,590,480,81.36 %
SHALER WARD 1 DIST 5,661,473,71.56 %
SHALER WARD 2 DIST 1,1053,854,81.10 %
SHALER WARD 2 DIST 2,750,597,79.60 %
SHALER WARD 2 DIST 3,580,439,75.69 %
SHALER WARD 2 DIST 4,757,621,82.03 %
SHALER WARD 2 DIST 5,373,302,80.97 %
SHALER WARD 3 DIST 1,588,486,82.65 %
SHALER WARD 3 DIST 2,596,476,79.87 %
SHALER WARD 3 DIST 3,594,498,83.84 %
SHALER WARD 3 DIST 4,710,576,81.13 %
SHALER WARD 3 DIST 5,684,565,82.60 %
SHALER WARD 4 DIST 1,829,671,80.94 %
SHALER WARD 4 DIST 2,468,343,73.29 %
SHALER WARD 4 DIST 3,651,541,83.10 %
SHALER WARD 4 DIST 4,658,538,81.76 %
SHALER WARD 4 DIST 5,516,390,75.58 %
SHALER WARD 5 DIST 1,716,587,81.98 %
SHALER WARD 5 DIST 2,676,589,87.13 %
SHALER WARD 5 DIST 3,532,439,82.52 %
SHALER WARD 5 DIST 4,352,284,80.68 %
SHALER WARD 5 DIST 5,766,586,76.50 %
SHALER WARD 6 DIST 1,624,494,79.17 %
SHALER WARD 6 DIST 2,675,537,79.56 %
SHALER WARD 6 DIST 3,544,436,80.15 %
SHALER WARD 6 DIST 4,333,266,79.88 %
SHALER WARD 6 DIST 5,550,452,82.18 %
SHALER WARD 7 DIST 1,587,437,74.45 %
SHALER WARD 7 DIST 2,791,614,77.62 %
SHALER WARD 7 DIST 3,636,460,72.33 %
SHALER WARD 7 DIST 4,1013,791,78.08 %
SHARPSBURG DIST 1,577,346,59.97 %
SHARPSBURG DIST 2,794,503,63.35 %
SHARPSBURG DIST 3,853,553,64.83 %
S FAYETTE DIST 1,558,472,84.59 %
S FAYETTE DIST 2,1078,861,79.87 %
S FAYETTE DIST 3,1432,1125,78.56 %
S FAYETTE DIST 4,852,642,75.35 %
S FAYETTE DIST 5,830,630,75.90 %
S FAYETTE DIST 6,1188,885,74.49 %
S FAYETTE DIST 7,627,471,75.12 %
S FAYETTE DIST 8,1480,1187,80.20 %
S FAYETTE DIST 9,651,436,66.97 %
S FAYETTE DIST 10,787,577,73.32 %
S FAYETTE DIST 11,919,711,77.37 %
S FAYETTE DIST 12,485,325,67.01 %
SOUTH PARK DIST 1,726,587,80.85 %
SOUTH PARK DIST 2,761,590,77.53 %
SOUTH PARK DIST 3,606,477,78.71 %
SOUTH PARK DIST 4,466,326,69.96 %
SOUTH PARK DIST 5,746,590,79.09 %
SOUTH PARK DIST 6,861,662,76.89 %
SOUTH PARK DIST 7,1101,856,77.75 %
SOUTH PARK DIST 8,512,434,84.77 %
SOUTH PARK DIST 9,807,615,76.21 %
SOUTH PARK DIST 10,844,672,79.62 %
SOUTH PARK DIST 11,596,430,72.15 %
SOUTH PARK DIST 12,569,427,75.04 %
SOUTH PARK DIST 13,1001,806,80.52 %
S VERSAILLES,209,158,75.60 %
SPRINGDAL BR DIST 1,696,501,71.98 %
SPRINGDAL BR DIST 2,593,445,75.04 %
SPRINGDAL BR DIST 3,522,373,71.46 %
SPRINGDAL BR DIST 4,438,321,73.29 %
SPRINGDALE TWP,1161,886,76.31 %
STOWE WARD 1,416,276,66.35 %
STOWE WARD 2 DIST 1,184,97,52.72 %
STOWE WARD 2 DIST 2,695,479,68.92 %
STOWE WARD 3,388,237,61.08 %
STOWE WARD 4 DIST 1,382,234,61.26 %
STOWE WARD 4 DIST 2,367,289,78.75 %
STOWE WARD 5,505,304,60.20 %
STOWE WARD 6,467,264,56.53 %
STOWE WARD 7,295,172,58.31 %
STOWE WARD 8,436,212,48.62 %
STOWE WARD 9,334,181,54.19 %
SWISSVALE DIST 1,910,552,60.66 %
SWISSVALE DIST 2,752,508,67.55 %
SWISSVALE DIST 3,691,419,60.64 %
SWISSVALE DIST 4,631,437,69.26 %
SWISSVALE DIST 5,758,549,72.43 %
SWISSVALE DIST 6,403,253,62.78 %
SWISSVALE DIST 7,663,481,72.55 %
SWISSVALE DIST 8,734,508,69.21 %
SWISSVALE DIST 9,652,478,73.31 %
SWISSVALE DIST 10,233,143,61.37 %
SWISSVALE DIST 11,675,546,80.89 %
TARENTUM WARD 1 DIST 1,669,407,60.84 %
TARENTUM WARD 1 DIST 2,479,346,72.23 %
TARENTUM WARD 2,529,302,57.09 %
TARENTUM WARD 3 DIST 1,303,176,58.09 %
TARENTUM WARD 3 DIST 2,600,373,62.17 %
THORNBURG,414,336,81.16 %
PENNSBURY VILL,599,453,75.63 %
TRAFFORD,46,30,65.22 %
TURTLE CREEK WD 1 DIST 1,819,562,68.62 %
TURTLE CREEK WD 1 DIST 2,401,277,69.08 %
TURTLE CREEK WD 2 DIST 1,675,423,62.67 %
TURTLE CREEK WD 2 DIST 2,323,195,60.37 %
TURTLE CREEK WD 3 DIST 1,622,357,57.40 %
TURTLE CREEK WD 3 DIST 2,479,315,65.76 %
UP ST CLAIR WARD 1 DIST 1,689,567,82.29 %
UP ST CLAIR WARD 1 DIST 2,825,659,79.88 %
UP ST CLAIR WARD 1 DIST 3,937,749,79.94 %
UP ST CLAIR WARD 1 DIST 4,793,624,78.69 %
UP ST CLAIR WARD 2 DIST 1,948,727,76.69 %
UP ST CLAIR WARD 2 DIST 2,681,503,73.86 %
UP ST CLAIR WARD 2 DIST 3,1030,802,77.86 %
UP ST CLAIR WARD 2 DIST 4,535,420,78.50 %
UP ST CLAIR WARD 3 DIST 1,1024,779,76.07 %
UP ST CLAIR WARD 3 DIST 2,860,686,79.77 %
UP ST CLAIR WARD 3 DIST 3,1187,896,75.48 %
UP ST CLAIR WARD 4 DIST 1,975,767,78.67 %
UP ST CLAIR WARD 4 DIST 2,772,615,79.66 %
UP ST CLAIR WARD 4 DIST 3,613,500,81.57 %
UP ST CLAIR WARD 4 DIST 4,1012,754,74.51 %
UP ST CLAIR WARD 5 DIST 1,1314,1041,79.22 %
UP ST CLAIR WARD 5 DIST 2,800,650,81.25 %
UP ST CLAIR WARD 5 DIST 3,860,667,77.56 %
VERONA DIST 1,516,355,68.80 %
VERONA DIST 2,594,423,71.21 %
VERONA DIST 3,613,416,67.86 %
VERSAILLES DIST 1,538,348,64.68 %
VERSAILLES DIST 2,486,303,62.35 %
WALL,314,181,57.64 %
WEST DEER DIST 1,1351,1089,80.61 %
WEST DEER DIST 2,563,438,77.80 %
WEST DEER DIST 3,826,628,76.03 %
WEST DEER DIST 4,774,632,81.65 %
WEST DEER DIST 5,833,619,74.31 %
WEST DEER DIST 6,748,602,80.48 %
WEST DEER DIST 7,1516,1172,77.31 %
WEST DEER DIST 8,1396,1099,78.72 %
W ELIZABETH,282,179,63.48 %
W HOMESTEAD DIST 1,487,268,55.03 %
W HOMESTEAD DIST 2,455,374,82.20 %
W HOMESTEAD DIST 3,526,415,78.90 %
WEST MIFFLIN DIST 1,722,522,72.30 %
WEST MIFFLIN DIST 2,461,317,68.76 %
WEST MIFFLIN DIST 3,463,322,69.55 %
WEST MIFFLIN DIST 4,454,227,50.00 %
WEST MIFFLIN DIST 5,845,664,78.58 %
WEST MIFFLIN DIST 6,320,222,69.38 %
WEST MIFFLIN DIST 7,740,570,77.03 %
WEST MIFFLIN DIST 8,566,380,67.14 %
WEST MIFFLIN DIST 9,774,571,73.77 %
WEST MIFFLIN DIST 10,511,386,75.54 %
WEST MIFFLIN DIST 11,781,566,72.47 %
WEST MIFFLIN DIST 12,1024,723,70.61 %
WEST MIFFLIN DIST 13,592,424,71.62 %
WEST MIFFLIN DIST 14,864,691,79.98 %
WEST MIFFLIN DIST 15,595,427,71.76 %
WEST MIFFLIN DIST 16,1204,929,77.16 %
WEST MIFFLIN DIST 17,569,431,75.75 %
WEST MIFFLIN DIST 18,782,587,75.06 %
WEST MIFFLIN DIST 19,660,514,77.88 %
WEST MIFFLIN DIST 20,450,382,84.89 %
WEST MIFFLIN DIST 21,653,496,75.96 %
WEST VIEW DIST 1,702,526,74.93 %
WEST VIEW DIST 2,778,564,72.49 %
WEST VIEW DIST 3,575,421,73.22 %
WEST VIEW DIST 4,580,463,79.83 %
WEST VIEW DIST 5,740,575,77.70 %
WEST VIEW DIST 6,702,550,78.35 %
WEST VIEW DIST 7,645,527,81.71 %
WHITAKER DIST 1,426,306,71.83 %
WHITAKER DIST 2,399,257,64.41 %
WHITEHALL DIST 1,528,427,80.87 %
WHITEHALL DIST 2,604,477,78.97 %
WHITEHALL DIST 3,660,540,81.82 %
WHITEHALL DIST 4,673,540,80.24 %
WHITEHALL DIST 5,684,529,77.34 %
WHITEHALL DIST 6,1008,577,57.24 %
WHITEHALL DIST 7,465,342,73.55 %
WHITEHALL DIST 8,790,643,81.39 %
WHITEHALL DIST 9,540,432,80.00 %
WHITEHALL DIST 10,614,481,78.34 %
WHITEHALL DIST 11,627,509,81.18 %
WHITEHALL DIST 12,546,411,75.27 %
WHITEHALL DIST 13,447,359,80.31 %
WHITEHALL DIST 14,576,463,80.38 %
WHITEHALL DIST 15,939,785,83.60 %
WHITEHALL DIST 16,598,487,81.44 %
WHITE OAK DIST 1,742,525,70.75 %
WHITE OAK DIST 2,786,571,72.65 %
WHITE OAK DIST 3,870,663,76.21 %
WHITE OAK DIST 4,751,597,79.49 %
WHITE OAK DIST 5,797,627,78.67 %
WHITE OAK DIST 6,724,550,75.97 %
WHITE OAK DIST 7,1062,792,74.58 %
WILKINS WARD 1 DIST 1,784,548,69.90 %
WILKINS WARD 1 DIST 2,651,531,81.57 %
WILKINS WARD 1 DIST 3,803,667,83.06 %
WILKINS WARD 1 DIST 4,629,497,79.01 %
WILKINS WARD 1 DIST 5,425,299,70.35 %
WILKINS WARD 2 DIST 1,619,471,76.09 %
WILKINS WARD 2 DIST 2,907,657,72.44 %
WILKINSBURG WARD 1 DIST 1,1013,677,66.83 %
WILKINSBURG WARD 1 DIST 2,765,461,60.26 %
WILKINSBURG WARD 1 DIST 3,465,289,62.15 %
WILKINSBURG WARD 1 DIST 4,601,451,75.04 %
WILKINSBURG WARD 1 DIST 5,531,445,83.80 %
WILKINSBURG WARD 1 DIST 6,1006,624,62.03 %
WILKINSBURG WARD 2 DIST 1,823,483,58.69 %
WILKINSBURG WARD 2 DIST 2,987,765,77.51 %
WILKINSBURG WARD 2 DIST 3,866,494,57.04 %
WILKINSBURG WARD 2 DIST 4,532,277,52.07 %
WILKINSBURG WARD 2 DIST 5,770,452,58.70 %
WILKINSBURG WARD 3 DIST 1,728,559,76.79 %
WILKINSBURG WARD 3 DIST 2,661,452,68.38 %
WILKINSBURG WARD 3 DIST 3,837,517,61.77 %
WILKINSBURG WARD 3 DIST 4,1025,714,69.66 %
WILKINSBURG WARD 3 DIST 5,1042,594,57.01 %
WILKINSBURG WARD 3 DIST 6,543,280,51.57 %
WILMERDING DIST 1,530,311,58.68 %
WILMERDING DIST 2,764,462,60.47 %
Total:,922104,660009,71.58 %
