tract,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific_islander,race_percent_hispanic,race_percent_other,income_percent_below_15K,income_percent_15K_35K,income_percent_35K_65K,income_percent_above_65K,year
"Census Tract 4267, Allegheny County, Pennsylvania",93.8,0.3,0.0,1.2,0.0,0.9000000000000057,0.0,22.1,26.8,31.5,13.899999999999999,2014
"Census Tract 4268, Allegheny County, Pennsylvania",97.8,0.4,0.0,0.5,0.0,0.0,0.0,19.2,27.0,27.0,20.5,2014
"Census Tract 4270, Allegheny County, Pennsylvania",94.9,2.9,0.0,0.3,0.0,0.19999999999998863,0.0,27.8,37.0,20.2,5.1,2014
"Census Tract 4271, Allegheny County, Pennsylvania",99.7,0.3,0.0,0.0,0.0,0.0,0.0,19.1,23.299999999999997,23.8,24.2,2014
"Census Tract 4272, Allegheny County, Pennsylvania",94.0,4.4,0.0,0.2,0.0,1.0,0.0,26.200000000000003,30.6,23.3,13.200000000000001,2014
"Census Tract 4281, Allegheny County, Pennsylvania",99.1,0.0,0.0,0.0,0.0,0.0,0.0,21.0,35.0,22.6,6.6,2014
"Census Tract 4282, Allegheny County, Pennsylvania",94.0,5.3,0.0,0.0,0.0,0.0,0.0,20.0,32.7,26.5,15.5,2014
"Census Tract 4291, Allegheny County, Pennsylvania",88.4,4.9,0.4,2.9,0.0,0.6999999999999886,0.3,20.9,22.4,33.099999999999994,14.399999999999999,2014
"Census Tract 4292.01, Allegheny County, Pennsylvania",86.8,2.0,0.0,8.1,0.0,1.2000000000000028,0.0,21.0,18.8,27.4,23.200000000000003,2014
"Census Tract 4292.02, Allegheny County, Pennsylvania",93.6,1.4,0.0,1.6,0.0,2.0,0.2,18.9,20.8,29.9,21.7,2014
"Census Tract 4293, Allegheny County, Pennsylvania",95.9,0.4,0.6,2.1,0.0,0.5,0.1,23.799999999999997,29.0,19.9,22.1,2014
"Census Tract 4294, Allegheny County, Pennsylvania",93.5,4.0,0.0,0.4,0.0,0.4000000000000057,0.3,20.299999999999997,24.0,30.4,20.1,2014
"Census Tract 4295, Allegheny County, Pennsylvania",86.8,3.6,0.0,6.1,0.4,0.5,1.5,23.2,28.0,29.200000000000003,15.7,2014
"Census Tract 4296, Allegheny County, Pennsylvania",89.3,5.0,0.0,3.4,0.0,0.4000000000000057,0.0,16.6,33.8,23.6,16.0,2014
"Census Tract 4297, Allegheny County, Pennsylvania",98.1,0.1,0.2,0.0,0.0,0.0,0.7,21.9,30.7,25.5,12.7,2014
"Census Tract 4301, Allegheny County, Pennsylvania",96.0,2.0,0.0,0.0,0.0,0.29999999999999716,0.9,14.700000000000001,32.4,34.5,11.8,2014
"Census Tract 4302, Allegheny County, Pennsylvania",97.3,1.5,0.2,0.3,0.0,0.7999999999999972,0.0,22.8,25.700000000000003,30.1,16.0,2014
"Census Tract 4311, Allegheny County, Pennsylvania",83.5,8.1,2.9,0.0,0.0,2.299999999999997,0.4,24.9,30.0,25.4,11.399999999999999,2014
"Census Tract 4314, Allegheny County, Pennsylvania",87.8,5.5,0.0,0.8,0.0,0.0,0.0,24.599999999999998,30.099999999999998,29.0,9.5,2014
"Census Tract 4315, Allegheny County, Pennsylvania",85.7,7.6,0.7,3.1,0.0,1.3999999999999915,0.0,29.4,32.9,18.8,8.5,2014
"Census Tract 4323, Allegheny County, Pennsylvania",87.3,8.1,0.0,0.0,0.0,0.0,0.0,31.599999999999998,28.700000000000003,23.4,10.1,2014
"Census Tract 4324, Allegheny County, Pennsylvania",83.0,6.7,0.0,2.5,0.0,0.0,2.3,21.799999999999997,39.8,25.0,6.199999999999999,2014
"Census Tract 4340, Allegheny County, Pennsylvania",95.7,2.1,0.0,0.2,0.0,0.5999999999999943,0.0,17.2,18.6,27.2,29.8,2014
"Census Tract 4350, Allegheny County, Pennsylvania",93.7,3.6,0.0,0.0,0.0,0.5,0.0,24.5,30.1,27.200000000000003,11.1,2014
"Census Tract 4370, Allegheny County, Pennsylvania",89.2,4.8,0.0,2.9,0.0,0.7999999999999972,0.2,17.1,17.4,21.5,35.1,2014
"Census Tract 4390, Allegheny County, Pennsylvania",91.5,4.8,0.0,0.4,0.0,0.7000000000000028,0.0,19.4,23.6,16.9,24.2,2014
"Census Tract 4455, Allegheny County, Pennsylvania",84.9,8.6,0.0,2.0,0.3,1.2999999999999972,1.6,22.3,22.299999999999997,17.5,28.700000000000003,2014
"Census Tract 4460, Allegheny County, Pennsylvania",93.9,0.4,0.0,0.7,0.0,3.0,0.2,19.5,10.4,16.5,40.9,2014
"Census Tract 4470, Allegheny County, Pennsylvania",88.8,0.6,0.0,7.5,0.0,0.4000000000000057,0.8,15.4,25.299999999999997,20.3,25.2,2014
