,tract,total,male_percent,female_percent,disability_percent,male_disability_percent,female_disability_percent,year
123,"Census Tract 4211, Allegheny County, Pennsylvania",4022,0.48010939830929883,0.5198906016907011,0.13625062158130283,0.0556936847339632,0.08055693684733964,2013
124,"Census Tract 4212, Allegheny County, Pennsylvania",4436,0.47633002705139765,0.5236699729486023,0.07484220018034266,0.034941388638412986,0.03990081154192967,2013
125,"Census Tract 4220, Allegheny County, Pennsylvania",5226,0.48832759280520477,0.5116724071947952,0.047455032529659394,0.01951779563719862,0.027937236892460773,2013
126,"Census Tract 4230, Allegheny County, Pennsylvania",2801,0.4966083541592288,0.5033916458407711,0.11495894323455909,0.08996786861835059,0.024991074616208496,2013
127,"Census Tract 4240, Allegheny County, Pennsylvania",3429,0.5132691746864976,0.4867308253135025,0.19218431029454652,0.10090405365995918,0.09128025663458735,2013
128,"Census Tract 4250, Allegheny County, Pennsylvania",3424,0.5271612149532711,0.472838785046729,0.15654205607476634,0.07739485981308411,0.07914719626168225,2013
129,"Census Tract 4263, Allegheny County, Pennsylvania",6074,0.4937438261442213,0.5062561738557787,0.12051366480079026,0.05630556470200856,0.0642081000987817,2013
130,"Census Tract 4264, Allegheny County, Pennsylvania",4550,0.45252747252747255,0.5474725274725275,0.14043956043956043,0.06439560439560439,0.07604395604395604,2013
131,"Census Tract 4267, Allegheny County, Pennsylvania",2266,0.4655781112091792,0.5344218887908209,0.14872021182700795,0.07987643424536628,0.06884377758164166,2013
132,"Census Tract 4268, Allegheny County, Pennsylvania",5347,0.4836356835608753,0.5163643164391247,0.06209089208902188,0.025434823265382458,0.03665606882363942,2013
133,"Census Tract 4270, Allegheny County, Pennsylvania",3732,0.4890139335476956,0.5109860664523044,0.18060021436227225,0.08788853161843516,0.09271168274383708,2013
134,"Census Tract 4271, Allegheny County, Pennsylvania",5614,0.47060919130744566,0.5293908086925543,0.10331314570716067,0.04381902386889918,0.05949412183826149,2013
135,"Census Tract 4272, Allegheny County, Pennsylvania",4917,0.4494610534878991,0.5505389465121009,0.1789709172259508,0.09741712426276185,0.08155379296318893,2013
136,"Census Tract 4281, Allegheny County, Pennsylvania",1225,0.4897959183673469,0.5102040816326531,0.15755102040816327,0.0783673469387755,0.07918367346938776,2013
137,"Census Tract 4282, Allegheny County, Pennsylvania",2106,0.48148148148148145,0.5185185185185185,0.11301044634377967,0.04131054131054131,0.07169990503323836,2013
